nama_provinsi;luas_panen;produksi
Prov. Jawa Barat;48641;73705
Prov. Jawa Tengah;94662;122306
Prov. D I Yogyakarta;59533;64084
Prov. Jawa Timur;164921;211416
Prov. Banten;10075;12246
Prov. Bali;9926;11212
Prov. Nusa Tenggara Barat;26319;37965
Prov. Nusa Tenggara Timur;19395;23685
Prov. Kalimantan Barat;1428;1767
Prov. Kalimantan Tengah;689;772
Prov. Kalimantan Selatan;10073;12181
Prov. Kalimantan Timur;1514;1817
Prov. Sulawesi Utara;6908;9049
Prov. Sulawesi Tengah;6362;10513
Prov. Sulawesi Selatan;15192;24808
Prov. Sulawesi Tenggara;5887;4540
Prov. Gorontalo;955;979
Prov. Sulawesi Barat;873;1230
Prov. Maluku;2222;2839
Prov. Maluku Utara;4430;5095
Prov. Papua Barat;596;626
Prov. Papua;1979;2105
Prov. Nanggroe Aceh Darussalam;5681;6934
Prov. Sumatera Utara;10154;12074
Prov. Sumatera Barat;6819;9597
Prov. Riau;1723;1622
Prov. Jambi;1203;1535
Prov. Sumatera Selatan;3129;4060
Prov. Bengkulu;5403;5802
Prov. Lampung;8420;10694
Prov. Kepulauan Bangka Belitung;325;325
Prov. Kepulauan Riau;174;164
Prov. DKI Jakarta;1;1
Prov. Jawa Barat;53569;76574
Prov. Jawa Tengah;105679;143687
Prov. D I Yogyakarta;60725;62901
Prov. Jawa Timur;163513;213792
Prov. Banten;10727;11691
Prov. Bali;9572;11616
Prov. Nusa Tenggara Barat;25508;38890
Prov. Nusa Tenggara Timur;19694;21563
Prov. Kalimantan Barat;1383;1663
Prov. Kalimantan Tengah;687;771
Prov. Kalimantan Selatan;10162;12377
Prov. Kalimantan Timur;1479;1809
Prov. Sulawesi Utara;6293;8247
Prov. Sulawesi Tengah;6136;9473
Prov. Sulawesi Selatan;23351;27402
Prov. Sulawesi Tenggara;7496;5199
Prov. Gorontalo;1003;1126
Prov. Sulawesi Barat;741;1001
Prov. Maluku;1529;1941
Prov. Maluku Utara;4824;5745
Prov. Papua Barat;445;487
Prov. Papua;1990;2094
Prov. Nanggroe Aceh Darussalam;3105;3844
Prov. Sumatera Utara;9377;11351
Prov. Sumatera Barat;5904;9093
Prov. Riau;1325;1243
Prov. Jambi;1161;1513
Prov. Sumatera Selatan;2547;3475
Prov. Bengkulu;4370;4679
Prov. Lampung;8305;10676
Prov. Kepulauan Bangka Belitung;341;357
Prov. Kepulauan Riau;169;168
Prov. DKI Jakarta;0;0
Prov. Jawa Barat;54346;91573
Prov. Jawa Tengah;92454;128030
Prov. D I Yogyakarta;65680;70834
Prov. Jawa Timur;150017;207971
Prov. Banten;9273;12810
Prov. Bali;8500;11024
Prov. Nusa Tenggara Barat;30772;41889
Prov. Nusa Tenggara Timur;13880;16056
Prov. Kalimantan Barat;1111;1333
Prov. Kalimantan Tengah;567;637
Prov. Kalimantan Selatan;9148;11238
Prov. Kalimantan Timur;1314;1665
Prov. Sulawesi Utara;6712;8795
Prov. Sulawesi Tengah;3953;7275
Prov. Sulawesi Selatan;18812;28408
Prov. Sulawesi Tenggara;6547;4942
Prov. Gorontalo;956;1282
Prov. Sulawesi Barat;461;560
Prov. Maluku;1264;1426
Prov. Maluku Utara;4069;4755
Prov. Papua Barat;591;639
Prov. Papua;1951;2044
